자치구코드,자치구명,법정동코드,법정동명,본번,부번,건물명,계약일,물건금액,건물면적,층,건축년도,건물용도,신고구분
11650,서초구,10600,잠원동,0055,0012,신반포16,20241214,220000,52.32,7,1983,아파트,중개거래
11650,서초구,10700,반포동,0002,0012,아크로리버파크,20241214,530000,84.97,15,2016,아파트,중개거래
11650,서초구,10800,서초동,1445,0014,더샵서초,20241214,58000,30.39,27,2006,아파트,중개거래
11650,서초구,10900,내곡동,0411,0000,서초더샵포레,20241214,149500,84.61,2,2014,아파트,중개거래
11650,서초구,10800,서초동,1687,0000,유원서초,20241213,202000,84.87,3,1993,아파트,중개거래
11650,서초구,10700,반포동,0020,0043,반포자이,20241213,306000,59.98,21,2009,아파트,중개거래
11650,서초구,10100,방배동,0770,0001,삼호1동~3동,20241213,169000,78.02,4,1975,아파트,중개거래
11650,서초구,10900,내곡동,0411,0000,서초더샵포레,20241213,155000,84.81,12,2014,아파트,중개거래
11650,서초구,10100,방배동,0758,0004,삼호2,20241213,206000,132.39,1,1976,아파트,중개거래
11650,서초구,10800,서초동,1685,0000,삼풍아파트,20241213,229000,79.47,15,1988,아파트,중개거래
11650,서초구,10600,잠원동,0073,0000,신반포2,20241212,538000,137.66,2,1978,아파트,중개거래
11650,서초구,10600,잠원동,0065,0032,신반포7,20241212,400000,140.04,8,1980,아파트,중개거래
11650,서초구,10600,잠원동,0050,0000,롯데캐슬갤럭시,20241212,289000,106.15,19,2002,아파트,중개거래
11650,서초구,10100,방배동,3283,0000,방배그랑자이,20241212,254000,74.597,5,2021,아파트,중개거래
11650,서초구,10100,방배동,0758,0004,삼호2,20241212,205000,132.39,1,1976,아파트,중개거래
11650,서초구,10600,잠원동,0073,0000,신반포2,20241211,537000,135.97,10,1978,아파트,중개거래
11650,서초구,10700,반포동,0020,0043,반포자이,20241211,535000,132.439,22,2009,아파트,중개거래
11650,서초구,10600,잠원동,0056,0003,한신,20241211,260000,84.52,3,1992,아파트,중개거래
11650,서초구,10800,서초동,1671,0005,대림서초리시온,20241210,39500,40.26,10,2003,아파트,중개거래
11650,서초구,10100,방배동,1015,0000,임광,20241210,192000,84.78,2,1985,아파트,중개거래
11650,서초구,10800,서초동,1303,0035,강남태영데시앙루브,20241210,130000,84.43,14,2005,아파트,중개거래
11650,서초구,10700,반포동,0001,0000,래미안원베일리,20241210,380000,59.96,12,2023,아파트,중개거래
