기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00~06_유동인구_수,시간대_06~11_유동인구_수,시간대_11~14_유동인구_수,시간대_14~17_유동인구_수,시간대_17~21_유동인구_수,시간대_21~24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20243,11260575,면목3·8동,6379377.0,3022942.0,3356436.0,753524.0,938526.0,995139.0,991894.0,1051072.0,1649224.0,1708601.0,1271909.0,729057.0,734569.0,1070680.0,864561.0,908842.0,906781.0,907240.0,907421.0,902647.0,919652.0,926794.0
20243,11260580,상봉1동,4211577.0,1954391.0,2257186.0,681966.0,510097.0,673825.0,633415.0,646530.0,1065744.0,1141815.0,888894.0,476553.0,465813.0,680048.0,558455.0,597179.0,601495.0,599516.0,596806.0,590617.0,604571.0,621392.0
20243,11260590,상봉2동,7300817.0,3399615.0,3901201.0,625277.0,1439564.0,1512410.0,1064120.0,1110258.0,1549187.0,1915674.0,1415995.0,833603.0,857910.0,1289232.0,988403.0,1012287.0,1010905.0,1023921.0,1018147.0,1037556.0,1114902.0,1083098.0
20243,11260600,중화1동,4979874.0,2329435.0,2650440.0,844237.0,602334.0,775849.0,709930.0,762326.0,1285198.0,1440987.0,1036775.0,543760.0,519694.0,759579.0,679080.0,710433.0,708908.0,710994.0,709578.0,703773.0,705920.0,730267.0
20243,11260610,중화2동,7506069.0,3673997.0,3832071.0,881942.0,973329.0,1116803.0,1081913.0,1306063.0,2146019.0,2030006.0,1518722.0,817781.0,842527.0,1277134.0,1019900.0,1059599.0,1053647.0,1053577.0,1047961.0,1053643.0,1109357.0,1128286.0
20243,11260620,묵1동,6843788.0,3163866.0,3679922.0,1119960.0,894209.0,996350.0,1020759.0,1045114.0,1767396.0,1865056.0,1412060.0,756707.0,759222.0,1125537.0,925206.0,964548.0,961931.0,965642.0,963081.0,956927.0,1000525.0,1031135.0
20243,11260630,묵2동,5243604.0,2468506.0,2775098.0,647330.0,726786.0,815011.0,813651.0,895315.0,1345510.0,1421810.0,1048620.0,584237.0,596359.0,889239.0,703339.0,735708.0,735124.0,739233.0,735194.0,738086.0,779781.0,780478.0
20243,11260655,망우본동,11179831.0,5118911.0,6060920.0,1669926.0,1376443.0,1790729.0,1796778.0,1720249.0,2825704.0,2931412.0,2276275.0,1313421.0,1300218.0,1876116.0,1482387.0,1568754.0,1572727.0,1574752.0,1561628.0,1567550.0,1639777.0,1694640.0
20243,11260660,망우3동,4011481.0,1867928.0,2143554.0,466848.0,491315.0,569294.0,580774.0,714459.0,1188789.0,1254656.0,842511.0,412819.0,388958.0,571345.0,541192.0,569683.0,570417.0,567781.0,565317.0,559591.0,576095.0,602597.0
20243,11260680,신내1동,4911434.0,2229696.0,2681737.0,948038.0,490868.0,663557.0,728547.0,752612.0,1327811.0,1321646.0,977144.0,546897.0,562849.0,843392.0,659508.0,697921.0,693668.0,692775.0,694398.0,693925.0,713027.0,725719.0
20243,11260690,신내2동,1757177.0,800646.0,956529.0,317060.0,177815.0,240322.0,266056.0,285880.0,470044.0,487953.0,367864.0,199468.0,195076.0,278550.0,228266.0,252172.0,248169.0,250794.0,252076.0,251428.0,250239.0,252300.0
20244,11620735,대학동,6174888.0,3574257.0,2600631.0,505382.0,1952992.0,1230498.0,860074.0,714409.0,911535.0,1672866.0,1281706.0,696691.0,684562.0,1005607.0,833458.0,868529.0,875170.0,883943.0,880201.0,871095.0,888619.0,907332.0
20244,11620745,삼성동,7029660.0,3546129.0,3483531.0,649034.0,1312537.0,1060205.0,981305.0,1057174.0,1969406.0,1984343.0,1431376.0,760656.0,744539.0,1140315.0,968432.0,1002427.0,997425.0,1004193.0,997603.0,992141.0,1006932.0,1028940.0
20244,11620765,미성동,5219036.0,2393642.0,2825394.0,826297.0,757992.0,789833.0,810254.0,791427.0,1243233.0,1525655.0,1097338.0,563421.0,544003.0,791532.0,697085.0,740283.0,739347.0,740960.0,736427.0,730934.0,756163.0,774923.0
