기준_년분기_코드,상권구분_코드,상권구분_명,상권_코드,상권_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액
20224,D,발달상권,3120048,금호역,501305089.0,67971.0,342081266.0,159223823.0
20224,A,골목상권,3110226,장안1동주민센터,3977720563.0,497663.0,2771586139.0,1206134424.0
20224,A,골목상권,3110456,구산보건지소,961268320.0,127453.0,675902352.0,285365968.0
20224,A,골목상권,3110618,강서고등학교,1043300943.0,143644.0,714387955.0,328912988.0
20224,R,전통시장,3130271,남성역골목시장,39000000.0,6110.0,27999943.0,11000057.0
20224,D,발달상권,3120012,대학로(혜화역),2284388363.0,270586.0,1502806748.0,781581615.0
20224,A,골목상권,3110125,사근동살곶이상점가,294864433.0,54805.0,210522100.0,84342333.0
20224,A,골목상권,3110189,제기동역 1번,436401992.0,60231.0,309924691.0,126477301.0
20224,D,발달상권,3120151,보라매공원,2627385970.0,344206.0,2056619842.0,570766128.0
20224,A,골목상권,3110934,우면주공아파트,435353383.0,62475.0,298628714.0,136724669.0
20224,D,발달상권,3120204,르네상스호텔사거리,1516359727.0,216138.0,1181372919.0,334986808.0
20224,D,발달상권,3120194,언주역(차병원),3387283546.0,418225.0,2657593732.0,729689814.0
20224,D,발달상권,3120182,"양재시민의숲역(양재동꽃시장, aT센터)",826342325.0,131923.0,636947882.0,189394443.0
20224,D,발달상권,3120201,도곡1동,691060145.0,102943.0,521481109.0,169579036.0
20224,A,골목상권,3111053,성내천어린이공원(하니사랑길),352209080.0,55732.0,253816449.0,98392631.0
20224,R,전통시장,3130067,왕십리도선동상점가,1128720293.0,145552.0,728290313.0,400429980.0
20224,A,골목상권,3110243,중랑노인종합복지관,507370781.0,56629.0,343216041.0,164154740.0
20224,A,골목상권,3110984,포이초등학교(개포목련어린이공원),37273.0,19.0,37273.0,0.0
20224,D,발달상권,3120203,강남구청역,3182200174.0,432400.0,2521862016.0,660338158.0
20224,A,골목상권,3110264,면목역 2번,1528674692.0,198069.0,1044140670.0,484534022.0
20224,A,골목상권,3110404,신창초등학교,413125668.0,45565.0,287762672.0,125362996.0
20224,D,발달상권,3120122,강서구청,3757827776.0,434346.0,2594188784.0,1163638992.0
20224,D,발달상권,3120027,명동역(명동재미로),1207558533.0,190555.0,935658716.0,271899817.0
20224,D,발달상권,3120029,을지로2가,1319662959.0,84310.0,932552933.0,387110026.0
20224,D,발달상권,3120057,아차산역,665946998.0,96733.0,463917050.0,202029948.0
